"10049",1479.8018276901369,-284854.06051021436,44.664807697553385,CC"
"10048",1481.2356483403057,-284854.0709765889,44.81438172846384,CC"
"10047",1482.3562276385567,-284853.71248120506,44.901500824639875,CC"
"10046",1483.7924816412165,-284852.03994602244,44.92622730814431,CC"
"10045",1483.7923392912933,-284852.0409448253,44.92658394544245,CC"
"10044",1487.8421480882735,-284841.6189183062,44.692580599203836,"VALETA"
"10043",1486.766011021648,-284842.19338201534,44.69536543008989,"VALETA"
"10042",1485.0369591455785,-284843.7773315568,44.727881433824955,"VALETA"
"10041",1483.8050956749469,-284845.9014255903,44.774823761950124,"VALETA"
"10040",1483.2445807033685,-284848.50869994285,44.859032772020775,"VALETA"
"10039",1483.537868313782,-284851.00500217546,44.9115805542667,"VALETA"
"10038",1484.8820351408165,-284853.6654156986,44.975621264633496,"VALETA"
"10037",1487.1684627926177,-284855.71369139286,45.02366324340633,"VALETA"
"10036",1487.417225580389,-284855.39133676386,45.01862208031514,CC"
"10035",1486.2386466217263,-284854.53623382194,45.00096848467408,CC"
"10034",1484.0896599112348,-284851.3377632809,44.923829461534936,CC"
"10033",1483.645086454522,-284848.75473615504,44.8587856931607,CC"
"10032",1484.2451227376764,-284845.9290822447,44.7794281576505,CC"
"10031",1485.8808156614425,-284843.4741537257,44.72190587811664,CC"
"10030",1487.815790214604,-284842.10066937486,44.719573090993336,CC"
"OD13",1487.8194149341768,-284842.5556127682,44.732453864196444,I"
"10021",1486.7550216132997,-284860.67630567396,45.096661204869825,"CANDSC"
"10020",1487.8887947989597,-284856.2382370121,45.01328207211225,CC"
"10019",1486.9407760377096,-284856.52798472106,45.036657909766504,CC"
"10018",1486.2507221193812,-284857.0581066612,45.046296653885065,CC"
"10017",1485.5813220816126,-284857.82723066414,45.0650729705712,CC"
"10016",1485.2005385221278,-284858.5874207748,45.06891390137625,CC"
"10015",1485.157171254109,-284859.9341305798,45.10211392500121,CC"
"10014",1485.87587212526,-284861.4184485841,45.12056246807637,CC"
"10013",1486.9725263911394,-284862.2480081005,45.192366864608275,CC"
"10012",1488.8120941096158,-284857.69177536387,45.130131305363875,CC"
"10011",1491.2007012110444,-284858.0145736764,45.141656117695995,CC"
"10010",1495.0327259123465,-284857.32764641807,45.0767385942836,CC"
"10009",1497.0947529623277,-284856.0618885359,45.029345426823376,CC"
"10008",1498.0451448325978,-284855.1774888393,45.02928543273067,CC"
"10007",1498.7689328588083,-284854.2638446891,45.06371175570069,CC"
"10006",1504.3533116838914,-284859.2224107688,45.25084417771435,"PIN"
"10005",1504.1579913446515,-284859.36934046756,45.218400808828726,"PIN"
"10004",1503.9484296918708,-284859.3294183818,45.205075150097535,"PIN"
"10003",1503.8669025602667,-284859.7955696687,45.17919088933315,CC"
"10002",1504.054991305466,-284859.7402101017,45.17626727531789,CC"
"10001",1507.6856981961105,-284856.37527509755,45.0732437455388,CC"
"10000",1507.8606543165124,-284856.9160592577,45.09632280534996,"LIMPARA"
"OD12",1508.535487659402,-284856.664023506,45.09457920089846,"LIMPARA"
"OD10",1493.7018966943472,-284867.59177836205,45.421646400237385,"LIMPARA"
"OD11",1521.9002846344417,-284901.431657059,46.267102378362715,"LIMPARA"
"TS0268",1481.6304484123737,-284880.81099126727,45.822486010154414,"LIMPARA"
"TS0267",1483.2035544319224,-284881.4218231749,45.77350271561577,"LIMROD"
"TS0266",1483.1014725070072,-284884.29971228825,45.8275415269981,"LIMROD"
